building_id,school_name,building_address,city,borough,borough_code,geographical_district,latitude,longitude
M131,I.S. 131 - MANHATTAN,100 HESTER STREET,Manhattan,MANHATTAN,M,2,40.716553,-73.993092
K001,P.S. 1 - BROOKLYN,309 47 STREET,Brooklyn,BROOKLYN,K,15,40.649042,-74.012289
K834,K372 SPED - BROOKLYN,512 CARROLL STREET,Brooklyn,BROOKLYN,K,15,40.676668,-73.985258
Q174,P.S. 174 - QUEENS,65-30 DIETERLE CRESCENT,Queens,QUEENS,Q,28,40.720874,-73.860978
X012,X012 SPED - BRONX,2555 TRATMAN AVENUE,Bronx,BRONX,X,11,40.840145,-73.844419
K152,P.S. 315 - BROOKLYN,725 EAST 23 STREET,Brooklyn,BROOKLYN,K,22,40.632562,-73.954724
Q620,THOMAS A. EDISON HS - Q,165-65 84 AVENUE,Queens,QUEENS,Q,28,40.715389,-73.800369
Q053,I.S. 53 - QUEENS,10-45 NAMEOKE STREET,Queens,QUEENS,Q,27,40.603622,-73.749097
X496,THE ARTHUR A. SCHOMBURG EDUCATIONAL CAMPUS - BRONX,330 EAST 180TH STREET,Bronx,BRONX,X,9,40.852167,-73.899074
Q014,P.S. 14 - QUEENS,107-01 OTIS AVENUE,Queens,QUEENS,Q,24,40.74056,-73.854131
K291,I.S. 291 - BROOKLYN,231 PALMETTO STREET,Brooklyn,BROOKLYN,K,32,40.695362,-73.915142
Q486,CURIOUS YOUNG LEARNERS PRE-K CENTER,160-06 CROSS BAY BOULEVARD,Queens,QUEENS,Q,27,40.657176,-73.839392
Q098,P.S. 98 - QUEENS,40-20 235 STREET,Queens,QUEENS,Q,26,40.769271,-73.749369
K045,P.S. 45 - BROOKLYN,84 SCHAEFER STREET,Brooklyn,BROOKLYN,K,32,40.686746,-73.910693
K164,P.S. 164 - BROOKLYN,4211 14 AVENUE,Brooklyn,BROOKLYN,K,20,40.637486,-73.985955
Q420,EXCELSIOR PREP HIGH SCHOOL - Q,143-10 SPRINGFIELD BOULEVARD,Queens,QUEENS,Q,29,40.668235,-73.756839
R082,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND -,104 GORDON STREET,Staten Island,STATEN IS,R,31,40.624263,-74.082667
Q162,P.S. 162 - QUEENS,201-02 53 AVENUE,Queens,QUEENS,Q,26,40.749036,-73.777213
K197,P.S. 197 - BROOKLYN,1599 EAST 22 STREET,Brooklyn,BROOKLYN,K,22,40.612623,-73.951906
X182,P.S. 182 - BRONX,601 STICKBALL BOULEVARD,Bronx,BRONX,X,8,40.818228,-73.856302
M189,P.S. 189 - MANHATTAN,2580 AMSTERDAM AVENUE,Manhattan,MANHATTAN,M,6,40.852631,-73.927604
K183,P.S. 446 - BROOKLYN,76 RIVERDALE AVENUE,Brooklyn,BROOKLYN,K,23,40.660204,-73.913933
X079,I.S. 447 - BRONX,125 EAST 181 STREET,Bronx,BRONX,X,10,40.854872,-73.903458
K101,P.S. 101 - BROOKLYN,8696 24 AVENUE,Brooklyn,BROOKLYN,K,21,40.597133,-73.991614
K252,MIDDLE SCHOOL FOR ART & PHILOS - K,1084 LENOX ROAD,Brooklyn,BROOKLYN,K,18,40.658295,-73.920109
K395,P.S. 109 - BROOKLYN,1001 EAST 45 STREET,Brooklyn,BROOKLYN,K,22,40.636455,-73.933582
X007,P.S. 7 - BRONX,3201 KINGSBRIDGE AVENUE,Bronx,BRONX,X,10,40.881066,-73.905366
M446,UNIVERSITY NEIGHBORHOOD HS - M,200 MONROE STREET,Manhattan,MANHATTAN,M,1,40.712399,-73.984497
K039,P.S. 39 - BROOKLYN,417 6 AVENUE,Brooklyn,BROOKLYN,K,15,40.668916,-73.983195
R022,P.S. 22 - STATEN ISLAND,1860 FOREST AVENUE,Staten Island,STATEN IS,R,31,40.625369,-74.15097
