project_id,building_id,project_description,construction_award,project_type
287,X146,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,398000,CIP
288,X113,AUDITORIUM UPGRADE / PATH OF TRAVEL AUDITORIUM UPGRADE,1950000,CIP
289,M485,RPZ BACKFLOW PREVENTION DEVICES / FIRE SPRINKLER SYSTEM,1997798,CIP
290,K071,WATER INFILTRATION,1499000,CIP
291,M009,RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6717000,CIP
292,Q336,FY22 RESO A PLAYGROUND UPGRADE / RESO A EXTERIOR DOOR,579065,CIP
293,Q140,IPDVS INSTALLATIONS,110489.19,CIP
294,Q080,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,391000,CIP
295,X075,COVID VENTILATION,3455000,CIP
296,X155,ROOFS / EXTERIOR MASONRY / PARAPETS,13589200,CIP
297,Q007,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,2765000,CIP
298,Q049,FLOOD ELIMINATION / PARAPETS / ROOFS / EXTERIOR MASONRY,6978000,CIP
299,R060,LSP REPLACE UNIVENTS,355900,CIP
300,Q452,CULINARY ARTS ROOM,2180000,CIP
301,Q118,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,15600000,CIP
302,Q595,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / FLOOD ELIMINATION,14570000,CIP
303,M911,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,7578786,CIP
304,X104,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,21898000,CIP
305,KBUH,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,1835354,CIP
306,K430,LOW VOLTAGE ELECTRICAL SYSTEM / KITCHEN FIRE SUPRESSION SYSTEM,4291000,CIP
307,K262,FY23 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,1350000,CIP
308,Q079,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,7872000,CIP
309,R030,FIRE ALARM SYSTEM,505000,CIP
310,Q137,LSP DOMESTIC WATER HEATER REPLACEMENT,165074.9,CIP
311,Q470,LSP DOMESTIC WATER HEATER,12107.82,CIP
312,X140,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL-OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT,2876000,CIP
313,K857,ELEVATOR MODERNIZATION / FIRE ALARM SYSTEM REPLACEMENT / ELECTRICAL SYSTEMS,3540600,CIP
314,Q227,PA SYSTEM REPLACEMENT,1380000,CIP
315,K162,LL 26-EXIT SIGNS,55103,CIP
316,Q181,FY24 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,463925,CIP
317,Q908,ELECTRICAL WORK FOR A/C INITIATIVE,66467.99,CIP
318,M185,IPDVS FULL CAMERA UPGRADE / IPDVS FULL CAMERA UPGRADE / IPDVS INSTALLATION,539000,CIP
319,K668,Lease,8770000,CAP
320,K198,FY24 RESO A (MA) CAFETERIA UPGRADE / PATH OF TRAVEL RESO A (MA) CAFETERIA UPGRADE,701000.5,CIP
321,M137,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,675000,CIP
322,X521,Lease,0,CAP
323,M079,IPDVS INSTALLATIONS,385048.3,CIP
324,K178,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY,9597000,CIP
325,Q150,LSP DOMESTIC WATER HEATER,222200,CIP
326,K148,FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT,15049000,CIP
327,X131,FY23 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE / FY23 RESO A AUDITORIUM UPGRADE,1776000,CIP
328,Q173,ROOFS / PARAPETS / EXTERIOR MASONRY,6324000,CIP
329,X004,RNWL SBHC / RNWL SBHC- ELECTRICAL UPGRADE / STH SBHC- MENTAL HEALTH SUITE,6248000,CIP
330,M460,COVID VENTILATION / COVID CLIMATE CONTROL / COVID LOW VOLTAGE ELECTRICAL SYSTEM,19820000,CIP
331,Q055,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,290000,CIP
332,X117,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7414000,CIP
333,K095,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ELECTRICAL SYSTEMS / LOW VOLTAGE ELECTRICAL SYSTEM,10820000,CIP
334,M008,LSP HOT WATER HEATER REPLACEMENT,249000,CIP
335,Q020,LSP DOMESTIC WATER HEATER REPLACEMENT,164772.82,CIP
336,K320,ROOFS / PARAPETS / EXTERIOR MASONRY,11975025,CIP
337,X149,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL,7564000,CIP
338,Q042,SANDY- INTERIOR SPACES / SANDY - HEATING PLANT / SANDY- FLOOD ELIMINATION / NON SANDY CLIMATE CONTROL / SANDY- SANITARY / STORM PIPING / SANDY- HVAC / ELECTRICAL LIGHTING FIXTURES / SANDY- ELECTRICAL SYSTEMS,15125767,CIP
339,K119,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,325000,CIP
340,K262,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / LOW-VOLTAGE ELECTRICAL SYSTEM,8928000,CIP
341,M044,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,19200000,CIP
342,X981,ROOFS / MECHANICAL EQUIPMENT REPLACEMENT / EXTERIOR MASONRY / PARAPETS / ROOFS,21441000,CIP
343,K033,FY22 RESO A GYMNASIUM UPGRADE,372000,CIP
344,Q119,LSP REPLACEMENT OF GAS FIRED WATER HEATER,89300,CIP
345,R052,ROOFS / EXTERIOR MASONRY / PARAPETS / PAVED AREA- BLACKTOP,6244000,CIP
346,K204,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,379950,CIP
347,Q095,LSP DOMESTIC WATER HEATER,171058.92,CIP
348,Q410,EXTERIOR MASONRY / FLOOD ELIMINATION,3996786,CIP
349,X183,WALK-IN REFRIGERATORS AND FREEZERS,595000,CIP
350,Q455,LSP HOT WATER HEATER REPLACEMENT,231070.86,CIP
351,Q029,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,9950000,CIP
352,Q222,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,345000,CIP
353,Q086,IPDVS INSTALLATIONS,197999.09,CIP
354,Q216,EXISTING BUILDING WORK-IPDVS / EXISTING BUILDING WORK-ELECTRICAL SYSTEMS,5151148,CIP
355,Q043,AIR CONDITIONING SPLIT SYSTEM / WINDOWS / CLIMATE CONTROL / EXTERIOR MASONRY,14084000,CIP
356,Q147,ROOFS / PARAPETS / EXTERIOR MASONRY / ROOF REPLACEMENT,6497423,CIP
357,Q450,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / AUDITORIUM SEAT UPGRADE / PATH OF TRAVEL AUDITORIUM SEAT UPGRADE,8565200,CIP
358,Q113,EXTERIOR MASONRY / ROOFS,3645000,CIP
359,K236,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,10824,CIP
360,Q505,FIRE PROTECTION PLAN,2097000,CIP
361,K069,FY24 RESO A AUDITORIUM UPGRADE,580000,CIP
362,Q190,TEMPORARY OIL TANK @Q190,245650,CIP
363,X093,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,308000,CIP
364,M149,ROOFS / WINDOWS / EXTERIOR MASONRY / PARAPETS,10445000,CIP
365,Q226,RTU REPLACEMENT / ROOFS,6864000,CIP
366,Q485,LSP DOMESTIC WATER HEATER,12764.41,CIP
367,Q073,LOW VOLT ELECTRICAL SYSTEMS,925000,CIP
368,R024,FLOOD ELIMINATION / GYM ROOF,2490500,CIP
369,Q238,PARAPETS / EXTERIOR MASONRY / WINDOWS / PLAYGROUND REDEVELOPMENT,20840013,CIP
370,Q002,FLOOD ELIMINATION / PARAPETS / ROOFS / EXTERIOR MASONRY,8313000,CIP
371,K184,ELECTRICAL WORK FOR A/C INITIATIVE,14432,CIP
372,X415,FY24 RESO A KITCHEN UPGRADE / PATH OF TRAVEL RESO A KITCHEN UPGRADE,535000,CIP
373,Q811,LL 41/16 COMPLIANCE (004961) / LL 41/16 COMPLIANCE (004964) / LL 41/16 COMPLIANCE (004966) / LL 41/16 COMPLIANCE (004967) / LL 41/16 COMPLIANCE (004968) / LL 41/16 COMPLIANCE (004969) / LL 41/16 COMPLIANCE (004970) / LL 41/16 COMPLIANCE (004971) / LL 41/,1798106.71,CIP
374,M514,Lease,16555000,CAP
375,K128,RPZ BACKFLOW PREVENTION DEVICES,1198000,CIP
376,Q133,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,359400,CIP
377,Q593,Lease,0,CAP
378,R600,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,526000,CIP
379,M118,RPZ BACKFLOW PREVENTION DEVICES,1331000,CIP
380,Q060,EXTERIOR MASONRY,1485000,CIP
381,Q164,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,15549000,CIP
382,K138,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / ROOFS,7693030,CIP
383,K024,PARAPETS / DOORS,1469786,CIP
384,K127,EXTERIOR MASONRY / ROOFS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / PHASE 3 VOLUNTARY ADA/ROOM CONVERSION WORK / PARAPETS / WINDOWS,25625000,CIP
385,M048,FIRE ALARM / ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ELECTRICAL SERVICE UPGRADE,45785000,CIP
386,K292,ROOFS / EXTERIOR MASONRY,5400000,CIP
387,K090,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,397980,CIP
388,K303,RESO A ROOM CONVERSIONS / PARTITIONING / PATH OF TRAVEL RESO A ROOM CONVERSIONS/PARTITIONING,1398000,CIP
389,X024,ELECTRICAL WORK FOR A/C INITIATIVE,5020.17,CIP
390,K134,Demo,1859000,CAP
391,K356,IPDVS CAMERA INSTALLATION / IPDVS INSTALLATION,418900,CIP
392,Q209,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / PLAYGROUND,15800000,CIP
393,M088,CHILLER REPLACEMENT / FIRE ALARM REPLACEMENT / BMS UPGRADE,15766000,CIP
394,X049,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,471000,CIP
395,K224,EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION / ROOFS / AIR CONDENSING UNIT,11224000,CIP
396,Q063,LSP DOMESTIC WATER HEATER REPLACEMENT,175157.82,CIP
397,K804,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,4749000,CIP
398,X456,PATH OF TRAVEL RESO A ATHLETIC FIELD / FY22 RESO A ATHLETIC FIELD UPGRADE,8739951,CIP
399,Q101,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,401000,CIP
400,Q244,ELECTRIFICATION/HEAT PUMP SYSTEMS / ROOFS,8123000,CIP
401,R119,PHASE II RENOVATIONS / PATH OF TRAVEL WORK FOR R119 LEASED SITE (LLWS 124434 & 126879),2613650,CIP
402,M164,ROOFS / PARAPETS / EXTERIOR MASONRY,7735000,CIP
403,Q123,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,23910000,CIP
404,Q430,RPZ VALVES / FIRE ALARM,2418000,CIP
405,Q089,FIRE ALARM REPLACEMENT / VENTILATION / ROOFS / AIR HANDLING UNITS / WINDOWS / FLOOD ELIMINATION / EXTERIOR MASONRY,17470000,CIP
406,R455,WATER INFILTRATION IN OIL TANK ROOM / PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,12699000,CIP
407,X027,COVID VENTILATION,7695000,CIP
408,Q143,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / AIR CONDITIONING UNIT (RTU) / HEATING SYSTEM UPGRADE / ROOM CONVERSIONS,32990000,CIP
409,Q273,ELECTRIFICATION/HEAT PUMP SYSTEMS,6475600,CIP
410,Q722,FY22 RESO A CAFETERIA UPGRADE / PATH OF TRAVEL RESO A CAFETERIA UPGRADE,1005000,CIP
411,X153,WINDOWS / EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / RTU REPLACEMENT / FIRE ALARM SYSTEM REPLACEMENT,24207000,CIP
412,X655,BATHROOM UPGRADES / GYM UPGRADE,3775000,CIP
413,X400,LSP LIGHTING UPGRADE,502500,CIP
414,K505,COVID VENTILATION / STH SBHC / FIRE ALARM SYSTEM REPLACEMENT / CLIMATE CONTROL / PATH OF TRAVEL STH SBHC,17848000,CIP
415,M197,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,21043000,CIP
416,R044,COVID VENTILATION / COVID VENTILATION- CLIMATE CONTROL,3996000,CIP
417,Q189,LOW VOLTAGE ELECTRICAL SYSTEM,900000,CIP
418,M465,HEATING PLANT UPGRADE (BOILER REPLACEMENT),17408219.42,CIP
419,Q071,LSP HOT WATER HEATER REPLACEMENT,233000,CIP
420,M477,COOLING TOWER REPLACEMENT / VENTILATION / LOW VOLTAGE ELECTRICAL SYSTEM / BMS UPGRADE,11156000,CIP
421,X071,KITCHEN EXHAUST REPLACEMENT / TCU REMOVAL/PLAYGROUND REDEVELOPMENT / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEM / WINDOWS / PARAPETS / ROOFS / FLOOD ELIMINATION,39543411,CIP
422,K172,COVID VENTILATION,306113,CIP
423,Q508,New,84621000,CAP
424,Q511,New,47606000,CAP
425,K154,ROOFS,1360000,CIP
426,K346,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,20204.8,CIP
427,R122,New,66875000,CAP
428,X115,SWIMMING POOL / EXTERIOR MASONRY @ X115 / WINDOWS / GYM FLOOR REPLACEMENT,7824000,CIP
429,K167,FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,291861,CIP
430,R032,FACADE RESTORATION,1685000,CIP
431,K415,RESO A- CULINARY ARTS KITCHEN / PATH OF TRAVEL RESO A KITCHEN UPGRADE / FIRE ALARM SYSTEM REPLACEMENT,6067000,CIP
432,K015,ROOFS / WINDOWS / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY,17924068.17,CIP
433,Q134,WATER PENETRATION / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / PARAPETS,24888000,CIP
434,K193,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM / PARAPETS / EXTERIOR MASONRY / ROOFS,21847000,CIP
435,Q460,FY24 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,1427000,CIP
436,K490,REPLACE 6' FIRE DOMESTIC WATER MAIN VALVES,594450,CIP
437,Q095,Addition,47953398,CAP
438,M520,VENTILATION @ M520 / AUDITORIUM CEILING REPLACEMENT,7119000,CIP
439,Q138,EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / FLOOD ELIMINATION,24200000,CIP
440,K155,WATER INFILTRATION / CRACKED MASONRY / ROOF LEAKS / HEATING PLANT UPGRADE / ELECTRICAL SYSTEMS / DOMESTIC PIPING / WINDOWS,20470000,CIP
441,M125,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,21791000,CIP
442,R013,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / CHILLER REPLACEMENT,11004326,CIP
443,Q161,FY23 RESO A IPDVS CAMERA INSTALLATION,218010.97,CIP
444,Q140,LSP- DOMESTIC HOT WATER HEATER,271744.76,CIP
445,X067,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PAVED AREAS- CONCRETE / CAFETERIA FLOOR REPLACEMENT,20967450,CIP
446,Q124,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5414000,CIP
447,X206,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,715000,CIP
448,K188,COVID VENTILATION,4820000,CIP
449,M465,SWIMMING POOLS / LOW VOLTAGE ELECTRICAL SYSTEM,21673000,CIP
450,Q465,SWIMMING POOL / LOW VOLTAGE ELECTRICAL SYSTEMS,15400000,CIP
451,K201,GYM FLOOR REPLACEMENT / PATH OF TRAVEL GYM FLOOR REPLACEMENT,967000,CIP
452,M176,WALK-IN REFRIGERATORS AND FREEZERS,531000,CIP
453,R011,PA SYSTEM REPLACEMENT,513000,CIP
454,Q216,Addition,58917852,CAP
455,R113,Lease,0,CAP
456,X105,EXISTING BUILDING-AUDITORIUM / EXISTING BUILDING-GYMNASIUM / EXISTING BUILDING-INTERIOR RENOVATIONS / EXISTING BUILDING-FIRE ALARM WORK / EXISTING BUILDING-ELECTRICAL SYSTEMS / PARAPETS / EXTERIOR MASONRY,13223450,CIP
457,R450,COVID VENTILATION,3628000,CIP
458,K430,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,24193000,CIP
459,R030,IPDVS INSTALLATIONS,228634.14,CIP
460,X142,FY24 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,1676000,CIP
461,X073,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,15777000,CIP
462,Q136,LSP HOT WATER HEATER REPLACEMENT,255972.86,CIP
463,Q610,IDA FLOOD ELIMINATION / IDA HEATING PLANT UPGRADE / NON-IDA CLIMATE CONTROL / IDA INTERIOR SPACES,13906000,CIP
464,K460,MASONRY,2997786,CIP
465,K012,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING,13700000,CIP
466,K106,LSP DOMESTIC WATER HEATER,207825,CIP
467,K415,FY24 RESO A ROOM CONVERSION / FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,563000,CIP
468,K222,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,487000,CIP
469,Q108,PA SYSTEM REPLACEMENT,743995,CIP
470,K324,WALK-IN REFRIGERATORS AND FREEZERS,615123,CIP
471,Q434,New,45475000,CAP
472,M218,FLOOD ELIMINATION / ELECTRIFICATION/HEAT PUMP SYSTEMS / EXTERIOR MASONRY / PARAPETS / ROOFS / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SERVICE UPGRADE / WINDOWS / LIGHTING UPGRADE,66929000,CIP
473,Q220,FLOOD ELIMINATION / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6120000,CIP
474,K022,WALK-IN REFRIGERATORS AND FREEZERS,555000,CIP
475,M143,FACADE REMEDIATION @ M143 / WINDOWS,25645000,CIP
476,M502,Demo,1730400,CAP
477,M521,DEMOLITION OF EXISTING FIELD HOUSE,683000,CIP
478,M131,INTERIOR SPACES- WALL REPAIR,253792,CIP
479,K001,FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT,10155000,CIP
480,Q134,LSP- DOMESTIC HOT WATER HEATER,33744.76,CIP
481,K834,FY21 RESO A PLAYGROUND UPGRADE,651000,CIP
482,Q174,EXISTING BUILDING-PA/CLOCK SYSTEMS / EXISTING BUILDING-FIRE ALARM SYSTEM / EXISTING BUILDING- INTERIOR RENOVATIONS / EXISTING BUILDING-AUDITORIUM / EXISTING BUILDING-GYMNASIUM / ELECTRICAL SERVICE UPGRADE / ELECTRIFICATION/HEAT PUMP SYSTEMS / PARAPETS /,25210000,CIP
483,X012,FY23 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,464000,CIP
484,K152,HVAC UPGRADE / FY23 RESO A PLAYGROUND UPGRADE / ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS / FLOOD ELIMINATION / PAVED AREA- CONCRETE / BMS UPGRADE,39400000,CIP
485,Q620,FY21 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,887000,CIP
486,Q053,WALK-IN REFRIGERTAORS AND FREEZERS,582929,CIP
487,X496,Demo,4171000,CAP
488,Q014,LSP- DOMESTIC WATER HEATER,191578.18,CIP
489,M040,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,31943000,CIP
490,K291,IDA FLOOD ELIMINATION / PATH OF TRAVEL NON-IDA FLOOD ELIMINATION / IDA INTERIOR SPACES,7134750,CIP
491,X455,EXTERIOR MASONRY / ROOFS / WINDOWS,18600000,CIP
492,X049,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM,15700000,CIP
493,K193,LSP PVI DOMESTIC WATER HEATER,11119.9,CIP
494,Q486,LSP HOT WATER HEATER,119100,CIP
495,M057,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,605000,CIP
496,Q098,FY20 RESO A SUPPLEMENTAL COOLING,410000,CIP
497,K045,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7899600,CIP
498,K164,EXTERIOR MASONRY / ROOFS / PARAPETS,6974000,CIP
499,Q420,COVID VENTILATION / FY21 RESO A SUPPLEMENTAL COOLING / COVID FIRE ALARM SYSTEM REPLACEMENT,7654000,CIP
500,R082,STEAM PIPE REPLACEMENT,753000,CIP
501,Q162,PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT / FLOOD ELIMINATION,2118000,CIP
502,K197,PERM FIX- REINFORCING SUPPORT ELEMENTS @ K197,1340000,CIP
503,X182,ELECTRICAL WORK FOR A/C INITIATIVE,3881.67,CIP
504,M189,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND,11745000,CIP
505,K183,COVID VENTILATION,4195000,CIP
506,X079,FY19 RESO A IPDVS CAMERA INSTALLATION,222500,CIP
507,K101,IPDVS CAMERA INSTALLATION / RESO A IPDVS SYSTEM,370000,CIP
508,Q452,CRACKED PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,21700000,CIP
509,K252,FLOOD ELIMINATION,3234688,CIP
510,K395,LSP REPLACE LEAKING PVI DOMESTIC WATER HEATER,11119.9,CIP
511,X007,PERM FIX- RETAINING WALL @ X007,1162151.86,CIP
512,M446,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / ROOFS,13392000,CIP
513,K039,FY24 RESO A ELECTRICAL UPGRADE,168700,CIP
514,R022,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,10725025,CIP
515,M126,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,26926890,CIP
516,K278,ELECTRICAL WORK FOR A/C INITIATIVE,8891.59,CIP
517,M090,WALK-IN REFRIGERATORS AND FREEZERS,747000,CIP
518,M646,ELECTRICAL WORK FOR A/C INITIATIVE,10495.01,CIP
519,K031,FULL PROGRAM ACCESSIBILITY,15988000,CIP
520,Q130,DOMESTIC WATER HEATER REPLACEMENT / PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,7947000,CIP
521,K382,New,107403000,CAP
522,K304,FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT,13924000,CIP
523,R023,FY23 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,408000,CIP
524,K860,BOILER REPLACEMENT,3256000,CIP
525,Q063,RTU REPLACEMENT,1987000,CIP
526,X147,WALK-IN REFRIGERATORS AND FREEZERS,494950,CIP
527,Q578,Demo,3873707,CAP
528,Q227,FY20 RESO A SCIENCE LAB UPGRADES,2100000,CIP
529,M480,FY23 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,2470000,CIP
530,K072,ELECTRICAL WORK FOR A/C INITIATIVE,4510,CIP
531,Q183,FY19 RESO A PLAYGROUND / PATH OF TRAVEL RESO A PLAYGROUND,979000,CIP
532,K650,FIRE ALARM SYSTEM,1888760,CIP
533,K384,LL 26-EXIT SIGNS,80059.32,CIP
534,K231,RPZ BACKFLOW PREVENTION DEVICES,2298000,CIP
535,Q158,ELECTRICAL WORK FOR A/C INITIATIVE / LOW VOLTAGE ELECTRICAL / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,2066000,CIP
536,X123,WATER INFILTRATION / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6864000,CIP
537,X156,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,448000,CIP
538,Q030,FY24 RESO A GYMNASIUM UPGRADE / FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,1310000,CIP
539,X062,WINDOWS / FULL PROGRAM ACCESSIBILITY,18595000,CIP
540,M134,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,385000,CIP
541,Q051,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,263000,CIP
542,Q203,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6575000,CIP
543,R061,PAVED AREA- BLACKTOP / PATH OF TRAVEL PAVED AREA- BLACKTOP,644060,CIP
544,M052,EXTERIOR MASONRY / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,18692000,CIP
545,X118,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT,3420000,CIP
546,M107,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,495000,CIP
547,Q118,LSP DOMESTIC WATER HEATER REPLACEMENT,167718.72,CIP
548,Q093,FY24 RESO A ROOM CONVERSION,359000,CIP
549,X065,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,405000,CIP
550,K086,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,5589919,CIP
551,Q172,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,15188000,CIP
552,KBOR,ACS EARLY LEARN LEASE IMPROVEMENT,2532588,CIP
553,Q151,LSP DOMESTIC WATER HEATER REPLACEMENT,136125.92,CIP
554,K147,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,339500,CIP
555,X036,ELECTRICAL WORK FOR A/C INITIATIVE,5455.09,CIP
556,K239,EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / FLOOD ELIMINATION,27000000,CIP
557,R004,CHILLER COMPRESSOR REPLACEMENT,3930000,CIP
558,Q190,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,7969000,CIP
559,K057,PARAPETS / EXTERIOR MASONRY / WINDOWS / PAVED AREAS- CONCRETE,7661000,CIP
560,Q038,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / HVAC / CLASSROOM AIR HANDLING UNITS / WINDOWS,14293000,CIP
561,X111,FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,5950000,CIP
562,Q485,EXTERIOR MASONRY / EXTERIOR DOORS,2979000,CIP
