project_id,building_id,project_description,construction_award,project_type
64,X030,EXTERIOR MASONRY / ROOFS / PARAPETS,9630000,CIP
65,Q680,EXTERIOR MASONRY / ROOFS / HVAC/BMS UPGRADE / FIRE ALARM SYSTEM,12880000,CIP
66,Q021,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5825285,CIP
67,X063,REINFORCING SUPPORT ELEMENTS / PAVED AREAS CONCRETE / WINDOWS / PARAPETS / ROOFS / EXTERIOR MASONRY,20294000,CIP
68,Q470,SCIENCE DEMO ROOM UPGRADES / SCIENCE LAB UPGRADE,1797000,CIP
69,R041,HEATING PLANT UPGRADE / ROOFS / PARAPETS / EXTERIOR MASONRY,20225000,CIP
70,X425,EXTERIOR MASONRY / PARAPETS / WINDOWS / ROOFS / FLOOD ELIMINATION,49990000,CIP
71,M045,SIDEWALK REPAIR / ROOFS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,17300000,CIP
72,Q096,EXISTING BUILDING RENOVATION WORK / EXISTING BUILDING-AUDITORIUM / EXISTING BUILDING-CAFETERIA,6006920,CIP
73,K159,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,450194,CIP
74,X722,EXTERIOR MASONRY WATER PENETRATION / WINDOWS / ROOFS / FLOOD ELIMINATION / PARAPETS,9394223,CIP
75,Q411,TENNIS COURT REMEDIATION,4362000,CIP
76,X075,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS,35816450,CIP
77,K185,CLASSROOM FLOORING / PATH OF TRAVEL CLASSROOM FLOORING,2150000,CIP
78,M187,LSP- DOMESTIC HOT WATER HEATER REPLACEMENT,227744.76,CIP
79,X180,WINDOWS,4300000,CIP
80,K196,FY24 RESO A AUDITORIUM UPGRADE,326500,CIP
81,R005,Addition,63890000,CAP
82,X002,WALK-IN REFRIGERATORS AND FREEZERS,440000,CIP
83,Q566,ROOFS / PARAPETS / FIRE ALARM SYSTEM / EXTERIOR MASONRY,14111000,CIP
84,X100,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,495446,CIP
85,M440,IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION,449000,CIP
86,Q341,New,74725000,CAP
87,X150,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,312500,CIP
88,K440,FY24 RESO A LOCKER ROOM UPGRADE / FY24 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,2227000,CIP
89,K525,IDA GYM FLOOR REPLACEMENT @ K525,893919,CIP
90,K877,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY,4759000,CIP
91,Q127,LSP- DOMESTIC HOT WATER HEATER,191011.57,CIP
92,M485,STAIRWELL WALLS,3751366,CIP
93,Q516,Demo,1629000,CAP
94,Q388,New,89375000,CAP
95,Q229,FIRE ALARM REPLACEMENT,835000,CIP
96,K321,FY22 RESO A PLAYGROUND UPGRADE,569740,CIP
97,M140,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / HEATING PLANT UPGRADE / FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM,49922946,CIP
98,X515,New,89411000,CAP
99,Q849,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS / FLOOD ELIMINATION,23400000,CIP
100,M533,Lease,119840000,CAP
101,Q133,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY / PARAPETS,8888000,CIP
102,K195,EXTERIOR MASONRY,1914688,CIP
103,Q739,CHAPEL ROOM CONVERSION,2842800.5,CIP
